index,dataset,prompt,iou,dice,precision,recall,gt_coverage
140,cracks,segment crack,0.533316,0.695637,0.963963,0.544165,9.19
374,cracks,segment crack,0.539160,0.700590,0.998200,0.539685,10.29
150,cracks,segment crack,0.541089,0.702217,0.774302,0.642410,2.11
18,cracks,segment crack,0.543268,0.704049,0.927063,0.567525,4.66
306,cracks,segment crack,0.543274,0.704054,0.740397,0.671111,3.86
282,cracks,segment crack,0.543638,0.704359,0.606283,0.840289,1.49
162,cracks,segment crack,0.546715,0.706937,0.983623,0.551737,5.24
251,cracks,segment crack,0.550441,0.710045,0.562604,0.962211,2.15
245,drywall,segment taping area,0.552006,0.711345,0.552290,0.999069,2.62
275,cracks,segment crack,0.552287,0.711578,0.985086,0.556944,4.69
172,cracks,segment crack,0.554004,0.713002,0.819813,0.630816,2.10
332,cracks,segment crack,0.554908,0.713750,0.563479,0.973320,7.17
394,cracks,segment crack,0.555370,0.714132,0.750783,0.680893,3.70
232,cracks,segment crack,0.557899,0.716219,0.964445,0.569614,11.97
257,cracks,segment crack,0.561175,0.718914,0.837700,0.629632,4.60
284,cracks,segment crack,0.567039,0.723708,0.693209,0.757014,1.49
100,drywall,segment taping area,0.568048,0.724529,0.957298,0.582816,18.73
